Time,root.group_9.1701.ZT1
1546353666167,0
1546353668160,0
1546353670156,0
1546353672157,0
1546353674160,0
1546353676156,0
1546353678155,0
1546353680164,0
1546353682159,0
1546353684153,0
1546353686160,0
1546353688157,0
1546353690171,0
1546353692160,0
1546353694157,0
1546353696157,0
1546353698160,0
1546353700154,0
1546353702155,0
1546353704153,0
1546353706160,0
1546353708155,0
1546353710162,0
1546353712155,0
1546353714166,0
1546353716153,0
1546353718159,0
1546353720156,0
1546353722160,0
1546353724156,0
1546353726155,0
1546353728160,0
1546353730153,0
1546353732160,0
1546353734152,0
1546353736154,0
1546353738171,0
1546353740152,0
1546353742169,0
1546353744156,0
1546353746160,0
1546353748155,0
1546353750156,0
1546353752162,0
1546353754159,0
1546353756157,0
1546353758162,0
1546353760155,0
1546353762167,0
1546353764160,0
